scientific_name,park_name,observations
Rubus suus,Yosemite National Park,145
Diplazium pycnocarpon,Great Smoky Mountains National Park,74
Danthonia compressa,Yosemite National Park,159
Polioptila caerulea,Yosemite National Park,164
Angelica triquinata,Yellowstone National Park,258
Agrostis scabra var. scabra,Bryce National Park,92
Fissidens osmundioides,Bryce National Park,133
Aeronautes saxatalis,Yosemite National Park,178
Blarina brevicauda,Yellowstone National Park,244
Allium tricoccum,Bryce National Park,104
Zizia aurea,Yosemite National Park,144
Cyperus strigosus,Bryce National Park,112
Juncus occidentalis,Bryce National Park,157
Penstemon roezlii,Yosemite National Park,120
Limnanthes striata,Bryce National Park,98
Collinsonia canadensis,Great Smoky Mountains National Park,104
Vernonia gigantea,Yosemite National Park,140
Medicago polymorpha,Yellowstone National Park,240
Wilsonia pusilla,Yellowstone National Park,205
Astragalus drummondii,Yosemite National Park,153
Fabronia ciliaris,Yellowstone National Park,214
Ribes inerme var. inerme,Yosemite National Park,155
Ranunculus macounii,Yellowstone National Park,225
Lewisia triphylla,Yellowstone National Park,271
Cheilanthes lanosa,Yosemite National Park,181
Gaultheria procumbens,Yosemite National Park,147
Mimulus douglasii,Bryce National Park,85
Carex virescens,Great Smoky Mountains National Park,95
Physostegia virginiana,Great Smoky Mountains National Park,75
Anomodon rostratus,Great Smoky Mountains National Park,68
Juncus parryi,Yellowstone National Park,285
Carex platyphylla,Yosemite National Park,122
Schoenoplectus acutus var. occidentalis,Yellowstone National Park,273
Larus philadelphia,Great Smoky Mountains National Park,61
Lycopodium clavatum,Yosemite National Park,155
Campylium chrysophyllum,Yellowstone National Park,245
Rorippa islandica,Yosemite National Park,150
Matelea obliqua,Yosemite National Park,118
Columba livia,Yosemite National Park,142
Cyperus iria,Bryce National Park,101
Phlox ovata,Yosemite National Park,152
Sagina decumbens ssp. occidentalis,Bryce National Park,111
Moxostoma carinatum,Yellowstone National Park,224
Carex hoodii,Bryce National Park,93
Hackelia patens var. patens,Great Smoky Mountains National Park,52
Saxifraga odontoloma,Yellowstone National Park,271
Carex feta,Yellowstone National Park,224
Oxytropis deflexa var. foliolosa,Yellowstone National Park,237
Pycnanthemum virginianum,Yosemite National Park,153
Antennaria corymbosa,Yellowstone National Park,250
Notropis atherinoides,Great Smoky Mountains National Park,62
Corydalis flavula,Yosemite National Park,152
Panicum capillare,Yosemite National Park,161
Puma concolor,Yellowstone National Park,243
Convolvulus arvensis,Yosemite National Park,163
Salix cascadensis,Great Smoky Mountains National Park,83
Lepus townsendii townsendii,Yosemite National Park,123
Elanus leucurus,Great Smoky Mountains National Park,87
Lycopus X sherardii,Great Smoky Mountains National Park,48
Cyprinus carpio,Bryce National Park,107
Gaillardia pulchella,Great Smoky Mountains National Park,62
Zonotrichia leucophrys,Bryce National Park,99
Anomodon viticulosus,Bryce National Park,110
Artemisia ludoviciana ssp. mexicana,Great Smoky Mountains National Park,35
Drummondia prorepens,Yellowstone National Park,236
Cirsium,Bryce National Park,137
Chaenactis glabriuscula var. glabriuscula,Great Smoky Mountains National Park,52
Danthonia spicata,Great Smoky Mountains National Park,56
Desmodium glabellum,Yellowstone National Park,246
Blasia pusilla,Great Smoky Mountains National Park,110
Scirpus lineatus,Great Smoky Mountains National Park,79
Sisyrinchium montanum,Yosemite National Park,137
Glyceria nubigena,Yellowstone National Park,216
Tsuga canadensis,Yosemite National Park,129
Setophaga coronata auduboni,Yellowstone National Park,205
Tympanuchus phasianellus,Great Smoky Mountains National Park,97
Ambystoma maculatum,Yellowstone National Park,233
Sceloporus undulatus hyacinthinus,Bryce National Park,127
Juniperus communis var. depressa,Yellowstone National Park,239
Cygnus buccinator,Yellowstone National Park,213
Viola walteri,Great Smoky Mountains National Park,59
Arctostaphylos viscida ssp. mariposa,Yosemite National Park,150
Cuphea viscosissima,Bryce National Park,116
Silene acaulis var. subacaulescens,Yosemite National Park,139
Puccinellia distans,Great Smoky Mountains National Park,68
Gamochaeta falcata,Bryce National Park,97
Scutellaria elliptica var. elliptica,Great Smoky Mountains National Park,80
Condylura cristata,Great Smoky Mountains National Park,70
Lycopodium hickeyi,Bryce National Park,72
Aeronautes saxatalis,Bryce National Park,95
Hypnum fertile,Bryce National Park,85
Coreopsis tinctoria,Yellowstone National Park,281
Viburnum rufidulum,Yosemite National Park,142
Rubus parviflorus var. parviflorus,Yellowstone National Park,277
Danthonia californica,Yellowstone National Park,274
Rattus norvegicus,Bryce National Park,81
Arnica nevadensis,Yellowstone National Park,239
Solidago gigantea,Great Smoky Mountains National Park,46
Aplodinotus grunniens,Yosemite National Park,160
Loxia leucoptera,Bryce National Park,107
Conoclinium coelestinum,Bryce National Park,73
Carum carvi,Yellowstone National Park,247
Rubus occidentalis,Bryce National Park,105
Carduelis flammea,Yellowstone National Park,206
Centaurea repens,Bryce National Park,130
Fissidens hyalinus,Yosemite National Park,152
Allium brevistylum,Great Smoky Mountains National Park,118
Avena sativa,Bryce National Park,163
Malva moschata,Yosemite National Park,170
Hippuris vulgaris,Yosemite National Park,148
Eleocharis tuberculosa,Bryce National Park,60
Numenius americanus,Yellowstone National Park,251
Hibiscus syriacus,Yellowstone National Park,234
Pseudotriton,Great Smoky Mountains National Park,105
Polygonum lapathifolium,Yellowstone National Park,269
Cryptogramma cascadensis,Great Smoky Mountains National Park,79
Robinia hispida var. kelseyi,Yellowstone National Park,265
Carex albicans var. albicans,Great Smoky Mountains National Park,87
Lobelia puberula,Yosemite National Park,125
Notropis baileyi,Great Smoky Mountains National Park,112
Plegadis chihi,Bryce National Park,103
Anagallis minima,Yosemite National Park,128
Galium tinctorium,Yosemite National Park,180
Najas guadalupensis,Yosemite National Park,111
Salix lutea,Bryce National Park,102
Collinsonia canadensis,Bryce National Park,132
Phyla lanceolata,Yellowstone National Park,223
Comptonia peregrina,Yellowstone National Park,247
Spea bombifrons,Yellowstone National Park,229
Pseudobahia heermannii,Yellowstone National Park,264
Myriophyllum verticillatum,Bryce National Park,119
Hypnum pallescens,Yellowstone National Park,247
Populus alba,Yosemite National Park,120
Glechoma hederacea,Bryce National Park,122
Symphoricarpos albus var. laevigatus,Yosemite National Park,123
Carex sartwelliana,Bryce National Park,81
Sceloporus occidentalis,Bryce National Park,77
Oncorhynchus mykiss,Great Smoky Mountains National Park,61
Viola purpurea ssp. purpurea,Great Smoky Mountains National Park,51
Rubus alumnus,Great Smoky Mountains National Park,62
Helianthus californicus,Yosemite National Park,133
Clethrionomys gapperi,Yellowstone National Park,253
Melica californica,Yosemite National Park,121
Viola canadensis,Great Smoky Mountains National Park,67
Calystegia malacophylla ssp. malacophylla,Yosemite National Park,153
Brothera leana,Bryce National Park,111
Phacelia quickii,Yosemite National Park,154
Oryzomys palustris,Great Smoky Mountains National Park,88
Myotis septentrionalis,Great Smoky Mountains National Park,34
Thermopsis fraxinifolia,Yellowstone National Park,272
Dodecatheon hendersonii,Yosemite National Park,161
Rattus rattus,Great Smoky Mountains National Park,77
Piperia unalascensis,Great Smoky Mountains National Park,111
Ptilagrostis kingii,Great Smoky Mountains National Park,112
Oenothera laciniata,Bryce National Park,85
Setaria parviflora,Yellowstone National Park,268
Eucladium verticillatum,Great Smoky Mountains National Park,85
Tamias speciosus,Bryce National Park,97
Crepis acuminata,Yosemite National Park,116
Streptopelia decaocto,Yosemite National Park,124
Pekania pennanti,Bryce National Park,101
Populus nigra,Bryce National Park,75
Lycopus uniflorus,Bryce National Park,93
Heuchera rubescens var. rydbergiana,Bryce National Park,131
Phalaris arundinacea,Yosemite National Park,114
Symphoricarpos albus var. laevigatus,Bryce National Park,90
Schoenoplectus purshianus,Yellowstone National Park,237
Carex lurida,Great Smoky Mountains National Park,39
Setophaga cerulea,Yosemite National Park,116
Melica californica,Great Smoky Mountains National Park,77
Erigeron,Great Smoky Mountains National Park,80
Ceanothus americanus,Yosemite National Park,125
Rosa arkansana,Bryce National Park,115
Dendroica coronata,Yosemite National Park,166
Solidago juncea,Great Smoky Mountains National Park,46
Thalictrum pubescens,Great Smoky Mountains National Park,71
Sus scrofa,Yosemite National Park,147
Phalaropus fulicarius,Bryce National Park,87
Luzula acuminata var. carolinae,Bryce National Park,105
Prosopium williamsoni,Yosemite National Park,185
Rhynchospora capitellata,Yosemite National Park,147
Castilleja lacera,Bryce National Park,109
Elatine rubella,Bryce National Park,63
Ranunculus hyperboreus,Yosemite National Park,141
Pycnanthemum californicum,Great Smoky Mountains National Park,118
Stuckenia filiformis ssp. occidentalis,Bryce National Park,104
Laportea canadensis,Great Smoky Mountains National Park,69
Crataegus uniflora,Yellowstone National Park,226
Juncus uncialis,Bryce National Park,122
Carex willdenowii,Great Smoky Mountains National Park,72
Achnatherum richardsonii,Bryce National Park,76
Acanthus flammea,Bryce National Park,95
Poa palustris,Yosemite National Park,144
Gymnosteris parvula,Yosemite National Park,146
Prunus angustifolia,Bryce National Park,89
Ursus arctos,Yosemite National Park,130
Stellaria pubera,Yosemite National Park,152
Secale cereale,Yellowstone National Park,257
Elymus hystrix var. hystrix,Yellowstone National Park,234
Hemitremia flammea,Bryce National Park,85
Viola adunca,Bryce National Park,98
Felis concolor,Yellowstone National Park,284
Cephalanthera austiniae,Bryce National Park,141
Aster occidentalis var. yosemitanus,Yosemite National Park,114
Carex jamesii,Bryce National Park,123
Lepidium ramosissimum var. bourgeauanum,Bryce National Park,91
Krigia biflora,Yellowstone National Park,240
Nyctanassa violacea,Great Smoky Mountains National Park,100
Carex gracilescens,Yellowstone National Park,252
Pseudoroegneria spicata,Yellowstone National Park,257
Calamospiza melanocorys,Yellowstone National Park,233
Quercus palustris,Bryce National Park,117
Platanthera clavellata,Great Smoky Mountains National Park,77
Corynorhinus townsendii,Yellowstone National Park,240
Kalmia latifolia,Yellowstone National Park,233
Mahonia bealei,Yellowstone National Park,237
Thalictrum fendleri var. polycarpum,Great Smoky Mountains National Park,55
Centaurea melitensis,Bryce National Park,78
Crataegus calpodendron,Yellowstone National Park,241
Saxifraga nidifica,Yellowstone National Park,239
Agrostemma githago,Bryce National Park,92
Trisetum spicatum,Great Smoky Mountains National Park,54
Hookeria acutifolia,Bryce National Park,94
Solanum triflorum,Yellowstone National Park,246
Columba livia,Bryce National Park,96
Carex limosa,Yellowstone National Park,234
Eragrostis pilosa,Bryce National Park,92
Selaginella apoda,Yosemite National Park,109
Urtica dioica ssp. holosericea,Yosemite National Park,177
Prenanthes serpentaria,Yosemite National Park,131
Chamaecrista fasciculata var. fasciculata,Yellowstone National Park,262
Trillium angustipetalum,Yellowstone National Park,277
Sphagnum palustre,Bryce National Park,80
Trifolium arvense,Great Smoky Mountains National Park,104
Platanthera peramoena,Bryce National Park,61
Orthilia secunda,Bryce National Park,106
Trifolium obtusiflorum,Bryce National Park,90
Ailanthus altissima,Yellowstone National Park,273
Iliamna rivularis,Yosemite National Park,152
Percina aurantiaca,Great Smoky Mountains National Park,61
Corallorrhiza maculata,Bryce National Park,128
Castilleja linariifolia,Yellowstone National Park,236
Carex concinna,Yosemite National Park,173
Isoetes echinospora,Yosemite National Park,123
Lepidium densiflorum,Yosemite National Park,101
Calamagrostis rubescens,Bryce National Park,96
Dichanthelium scabriusculum,Yellowstone National Park,257
Bromus japonicus,Bryce National Park,85
Plantago virginica,Yellowstone National Park,228
Woodsia oregana,Bryce National Park,83
Thelypodium paniculatum,Yosemite National Park,130
Lotus oblongifolius var. oblongifolius,Yosemite National Park,129
Crassula solierii,Great Smoky Mountains National Park,63
Alopecurus arundinaceus,Great Smoky Mountains National Park,100
Alopecurus carolinianus,Bryce National Park,140
Ruellia strepens,Bryce National Park,97
Sorbus aucuparia,Yellowstone National Park,268
Saxifraga tolmiei,Yosemite National Park,146
Epipactis gigantea,Yosemite National Park,137
Grayia spinosa,Great Smoky Mountains National Park,66
Plegadis falcinellus,Yosemite National Park,181
Salix planifolia,Bryce National Park,104
Scutellaria elliptica,Great Smoky Mountains National Park,57
Betula papyrifera var. cordifolia,Great Smoky Mountains National Park,39
Pinus monticola,Bryce National Park,103
Carex brainerdii,Bryce National Park,85
Aesculus flava,Great Smoky Mountains National Park,73
Aegolius funereus,Great Smoky Mountains National Park,82
Rumex crispus,Yosemite National Park,176
Mimulus bolanderi,Great Smoky Mountains National Park,40
Sorex monticolus,Yosemite National Park,178
Agrimonia microcarpa,Yellowstone National Park,254
Sceloporus graciosus graciosus,Bryce National Park,81
Lomatium dissectum var. multifidum,Great Smoky Mountains National Park,67
Spiranthes tuberosa,Bryce National Park,114
Piptochaetium avenaceum,Yosemite National Park,144
Angelica lineariloba,Great Smoky Mountains National Park,78
Eriophyllum nubigenum,Yellowstone National Park,234
Hypericum virgatum,Great Smoky Mountains National Park,65
Adlumia fungosa,Yosemite National Park,144
Plagiobothrys scouleri var. hispidulus,Bryce National Park,79
Orthodontium pellucens,Bryce National Park,72
Myosotis macrosperma,Bryce National Park,108
Nerodia sipedon sipedon,Yosemite National Park,160
Etheostoma simoterum,Bryce National Park,137
Tyrannus forficata,Yellowstone National Park,263
Pyrus communis,Bryce National Park,90
Triosteum perfoliatum,Bryce National Park,121
